$ python3 docs/native/N3-PR6-anexos/instrumentos/medidas-x.py docs/native/N3-PR6-anexos/dumps-pai-extra docs/native/N3-PR6-anexos/dumps-ret
# em paisagem (C) a régua esperada é 48,0 em todo estado (T3-R7: "em C, 48"); o ✗ das linhas -pai é a régua de B do script, não defeito
linha de aviso — altura (vão entre o nó cheio de cima e o de baixo), texto do motivo, elide?
dump                                                       espécie            altura  folha  errata    motivo (larg × alt)  elide
picker-X-salvo-nao-relido-avd-ret                     salvo-nao-relido     67.1     68    66.2      431.6 ×  42.2  não ✗
picker-X-salvo-nao-relido-tab-ret                     salvo-nao-relido     67.1     68    66.2      431.6 ×  42.2  não ✗
picker-X-sem-rede-avd-ret                             sem-rede             67.1     68    66.2      631.1 ×  42.2  não ✗
picker-X-sem-rede-tab-ret                             sem-rede             67.1     68    66.2      631.1 ×  42.2  não ✗
reordenar-X-limite-avd-ret                            limite               48.0     48    48.0      360.9 ×  21.8  não ✓
reordenar-X-limite-tab-ret                            limite               48.0     48    48.0      360.9 ×  21.8  não ✓
reordenar-X-sem-rede-avd-ret                          sem-rede             66.2     68    66.2      631.1 ×  42.2  não ✓
reordenar-X-sem-rede-tab-ret                          sem-rede             66.2     68    66.2      631.1 ×  42.2  não ✓
reordenar-descartado-avd-ret                          ?                    48.0      —       —      516.4 ×  21.8  não 
reordenar-descartado-tab-ret                          ?                    48.0      —       —      516.4 ×  21.8  não 
reordenar-falhou-avd-ret                              falhou               66.2     70    66.2      631.1 ×  42.2  não ✓
reordenar-falhou-tab-ret                              falhou               66.2     70    66.2      631.1 ×  42.2  não ✓
# o picker mede +0,9 (48,9 · 67,1): o invólucro `avisoDoRodape` tem o fio de 1 dp (`bar.hairline`, 2 px) em cima da linha — a linha em si é o componente de 48 / 66,2 (div. 313 do N2); `reordenar-descartado` é a frase da N2-D37 (uma linha, 48,0)
