# gerado por: node script-a456 dc-all.json palco-exclusivos <dir>  (script: script-a456.txt; grafo do mesmo depcruise da A2)
# contagem por arquivo das superfícies (palco fora). Colunas:
#  hex = /#[0-9a-fA-F]{3,8}/ · rgb/hsl() = /(rgba?|hsla?)\(/ · classe-paleta-tailwind = (bg|text|border|from|to|via|ring|fill|stroke|...)-<cor da paleta>(-NNN)
#  tamanho-fonte = text-(xs|sm|base|lg|xl|Nxl) | text-[Npx] | fontSize: · espaco-classe = (p|m|gap|space)-N · raio-classe = rounded(-*)
# totais (hex, rgb/hsl, paleta, fonte, espaço, raio): 186, 0, 1208, 365, 1003, 197
# hex distintos mais frequentes (xargs grep -ohE '#[0-9a-fA-F]{3,8}' | sort | uniq -c | sort -rn):
  37 #2E7CE4
  30 #1A1F36
  27 #6B7280
  21 #E8E3DA
  11 #F8F9FA
   9 #A69B8E
   9 #000000
   8 #1E5BB8
   7 #F2EDE5
   6 #fffcf7
   6 #fff9f0
   3 #ffff00
   2 #fff5e5
   2 #F39C12
   1 #ffa500
   1 #ff00ff
   1 #ff0000
   1 #f59e0b
   1 #8B7D6F
   1 #00ffff
   1 #00ff00
   1 #0000ff

arquivo	superficies	hex	rgb/hsl()	classe-paleta-tailwind	tamanho-fonte	espaco-classe	raio-classe
components/setlist/setlist-details.tsx	setlists	31	0	14	8	26	2
components/setlist/setlist-dialog.tsx	setlists	21	0	2	0	9	0
components/setlist/setlist-list.tsx	setlists	15	0	4	4	12	2
components/setlist/song-selection-dialog.tsx	setlists	25	0	11	4	24	1
components/setlists-page-client.tsx	setlists	4	0	1	1	2	2
components/settings-page-client.tsx	outra	4	0	0	0	1	1
components/settings.tsx	outra	0	0	0	0	0	0
components/settings/AudioSettings.tsx	outra	0	0	10	4	6	0
components/settings/CloudSettings.tsx	outra	0	0	18	6	11	0
components/settings/DisplaySettings.tsx	outra	0	0	9	8	9	0
components/settings/RefactoredSettings.tsx	outra	0	0	15	2	8	0
components/sidebar.tsx	content-lista,content-editor,upload,setlists,outra	0	0	12	1	8	0
components/tab-editor.tsx	content-editor	1	0	5	7	21	1
components/ui/accordion.tsx	content-editor,upload	0	0	0	1	3	0
components/ui/alert.tsx	auth,upload	0	0	0	1	3	1
components/ui/avatar.tsx	content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	2
components/ui/badge.tsx	content-lista,content-editor,setlists	0	0	0	1	2	1
components/ui/button.tsx	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	1	5	3
components/ui/card.tsx	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	2	6	1
components/ui/checkbox.tsx	content-editor,upload,setlists	0	0	0	0	0	1
components/ui/dialog.tsx	content-lista,content-editor,setlists	0	0	1	2	4	2
components/ui/dropdown-menu.tsx	content-lista,content-editor,upload,setlists,outra	0	0	0	6	21	6
components/ui/input.tsx	auth,content-lista,content-editor,upload,setlists,outra	0	0	0	3	2	1
components/ui/label.tsx	auth,content-editor,upload,setlists,outra	0	0	0	1	0	0
components/ui/pagination.tsx	content-lista	0	0	0	0	5	0
components/ui/scroll-area.tsx	content-lista,setlists	0	0	0	0	2	2
components/ui/select.tsx	auth,content-lista,content-editor,upload,outra	0	0	0	3	13	3
components/ui/separator.tsx	content-editor	0	0	0	0	0	0
components/ui/skeleton.tsx	outra	0	0	0	0	0	1
components/ui/slider.tsx	content-editor,outra	0	0	0	0	0	2
components/ui/sonner.tsx	shell	0	0	0	0	0	0
components/ui/switch.tsx	outra	0	0	0	0	0	2
components/ui/tabs.tsx	content-lista,outra	0	0	0	1	4	2
components/ui/textarea.tsx	content-editor,upload,setlists,outra	0	0	0	2	2	1
components/ui/toast.tsx	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	3	3	6	3
components/ui/tooltip.tsx	content-lista,content-editor,upload,setlists,outra	0	0	0	1	2	1
components/unified-metadata-editor.tsx	content-editor	0	0	18	7	34	3
components/user-header.tsx	content-lista,content-editor,upload,setlists,outra	0	0	2	1	4	2
contexts/firebase-auth-context.tsx	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
hooks/use-content-actions.ts	content-lista	0	0	0	0	0	0
hooks/use-debounce.ts	content-lista	0	0	0	0	0	0
hooks/use-library-data.ts	content-lista	0	0	0	0	0	0
hooks/use-navigation-actions.ts	content-lista	0	0	0	0	0	0
hooks/use-service-worker.tsx	shell	0	0	0	0	0	0
hooks/use-setlist-data.ts	setlists	0	0	0	0	0	0
hooks/use-toast.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
hooks/useAddContentLogic.ts	upload	0	0	0	0	0	0
hooks/useContentActions.ts	content-editor	0	0	0	0	0	0
hooks/useContentFile.ts	content-editor	0	0	0	0	0	0
hooks/useMetadataForm.ts	upload	0	0	0	0	0	0
lib/api-errors.ts	auth,content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	0
lib/auth-manager.ts	content-lista,content-editor,upload,setlists	0	0	0	0	0	0
lib/batch-import.ts	upload	0	0	0	0	0	0
lib/content-service-server.ts	content-lista,content-editor	0	0	0	0	0	0
lib/content-service.ts	content-lista,content-editor,upload,setlists	0	0	0	0	0	0
lib/content-type-styles.ts	content-editor,upload	0	0	20	0	0	0
lib/content-types.ts	content-lista,content-editor,upload,setlists	0	0	0	0	0	0
lib/csp-nonce.ts	shell	0	0	0	0	0	0
lib/debug.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
lib/error-boundary.tsx	content-editor,shell	0	0	12	3	8	1
lib/firebase-admin.ts	auth,content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	0
lib/firebase-errors.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
lib/firebase-server-utils.ts	auth,content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	0
lib/firebase-session-cookies.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
lib/firebase.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
lib/library-utils.ts	content-lista	0	0	12	0	0	0
lib/logger.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
lib/offline-cache.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
lib/offline-queue.ts	content-lista,content-editor,upload,setlists,shell	0	0	0	0	0	0
lib/offline-setlist-cache.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
lib/pdf-utils.ts	upload	0	0	0	0	0	0
lib/require-page-user.ts	content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	0
lib/setlist-service.ts	content-lista,content-editor,setlists	0	0	0	0	0	0
lib/setup-storage.ts	outra	0	0	0	0	0	0
lib/supabase-service.ts	content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	0
lib/supabase.ts	content-lista,content-editor,upload,setlists	0	0	0	0	0	0
lib/user-rate-limit.ts	auth,content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	0
lib/utils.ts	auth,content-lista,content-editor,upload,setlists,shell,outra	0	0	0	0	0	0
types/annotations.ts	content-editor	0	0	0	0	0	0
types/content.ts	content-lista,content-editor,upload,setlists	0	0	28	0	0	0
types/database.types.ts	content-lista,content-editor,upload,setlists,outra	0	0	0	0	0	0
types/library.ts	content-lista	0	0	0	0	0	0
types/performance.ts	setlists	0	0	0	0	0	0
